dbSize,realDataPercentage,avgMultiBloomChecks,avgMultiLeafBloomChecks,avgMultiNonLeafBloomChecks,avgMultiSSTChecks,avgSingleBloomChecks,avgSingleLeafBloomChecks,avgSingleNonLeafBloomChecks,avgSingleSSTChecks,avgRealMultiBloomChecks,avgRealMultiSSTChecks,avgFalseMultiBloomChecks,avgFalseMultiSSTChecks
10000000,0,29.48,0.07,29.41,0,28.2,5.05,23.15,0.66,0,0,29.48,0
10000000,20,30.92,1.4,29.52,0.6,28,5.45,22.55,0.71,38.65,3,28.9875,0
10000000,33,32.21,2.31,29.9,0.99,28.85,6,22.85,0.77,38.8485,3,28.9403,0
10000000,50,33.49,3.57,29.92,1.5,29,6.2,22.8,0.82,38.44,3,28.54,0
10000000,75,36.96,5.25,31.71,2.25,29.8,6.7,23.1,0.95,38.9467,3,31,0
10000000,100,39.13,7,32.13,3,30.25,6.9,23.35,1,39.13,3,0,0
50000000,0,183.54,0.16,183.38,0,128,14.28,113.72,0.67,0,0,183.54,0
50000000,20,183.15,1.56,181.59,0.6,126.45,14.08,112.37,0.73,188.2,3,181.887,0
50000000,33,188.2,2.38,185.82,0.99,125.8,13.95,111.85,0.78,190.212,3,187.209,0
50000000,50,187.11,3.75,183.36,1.5,128.95,14.6,114.35,0.82,193.8,3,180.42,0
50000000,75,190.49,5.62,184.87,2.25,130.2,16.3,113.9,0.92,192.947,3,183.12,0
50000000,100,191.34,7.4,183.94,3,127.7,14.88,112.82,1,191.34,3,0,0
100000000,0,282.78,0,282.78,0,247.6,23.3,224.3,0.67,0,0,282.78,0
100000000,20,282.39,1.4,280.99,0.6,250,25.05,224.95,0.77,291.25,3,280.175,0
100000000,33,287.53,2.31,285.22,0.99,248.35,24,224.35,0.83,293.848,3,284.418,0
100000000,50,285.5,3.64,281.86,1.5,249.25,25.8,223.45,0.87,290.6,3,280.4,0
100000000,75,289.82,5.25,284.57,2.25,250.5,25.3,225.2,0.93,290.84,3,286.76,0
100000000,100,289.65,7.05,282.6,3,248.8,24.75,224.05,1.02,289.65,3,0,0
500000000,0,1413.9,0.07,1413.83,0,1228.55,107.65,1120.9,0.66,0,0,1413.9,0
500000000,20,1413.85,1.4,1412.45,0.6,1228.15,110.15,1118,0.78,1425.9,3,1410.84,0
500000000,33,1417.89,2.43,1415.46,0.99,1236,113.55,1122.45,0.81,1437.33,3,1408.31,0
500000000,50,1415.25,3.6,1411.65,1.5,1228.7,110.3,1118.4,0.84,1416.14,3,1414.36,0
500000000,75,1417.88,5.3,1412.58,2.25,1225.55,108.85,1116.7,0.93,1420.75,3,1409.28,0
500000000,100,1420.4,7.05,1413.35,3,1236.15,114.55,1121.6,1.05,1420.4,3,0,0
