numRecords,bloomTreeRatio,itemsPerPartition,bloomSize,numHashFunctions,singleHierarchyLeafs,bloomDiskSize,blomMemSize
10000000,5,100000,4000000,6,100,150003600,37500900
50000000,5,100000,4000000,6,503,754018096,192004608
100000000,5,100000,4000000,6,1000,1500036000,376509036
500000000,5,100000,4000000,6,5000,7495179880,1875545012
