dbSize,realDataPercentage,totalQueries,realQueries,falseQueries,avgMultiTime,avgSingleTime,avgMultiBloomChecks,avgMultiSSTChecks
10000000,0,100,0,100,199.97,43954.5,28.48,0
10000000,20,100,20,80,14908.8,45637.8,31.26,0.6
10000000,33,100,33,67,23313.1,46751.1,32.26,0.99
10000000,50,100,50,50,35574.1,47665.2,34.19,1.5
10000000,75,100,75,25,53059.7,51375.4,37.65,2.25
10000000,100,100,100,0,69118.4,52487.3,40.15,3
50000000,0,100,0,100,1279.59,46291.3,197.14,0
50000000,20,100,20,80,11478.1,46942.1,197.07,0.6
50000000,33,100,33,67,18282.4,47598.1,202.28,0.99
50000000,50,100,50,50,25389.1,49363.5,207.37,1.5
50000000,75,100,75,25,38720.1,53862.1,205.65,2.25
50000000,100,100,100,0,46783.5,56756.2,210.37,3
100000000,0,100,0,100,1602.73,46095.9,267.18,0
100000000,20,100,20,80,16407.7,47023.2,270.38,0.6
100000000,33,100,33,67,25670.2,48918.4,272.41,0.99
100000000,50,100,50,50,37297,48782.5,269.8,1.5
100000000,75,100,75,25,55702.3,51259.1,276.93,2.25
100000000,100,100,100,0,70998.4,57226,280.37,3
500000000,0,100,0,100,8569.55,50348.1,1408.09,0
500000000,20,100,20,80,23829.1,54531.6,1397.91,0.6
500000000,33,100,33,67,32973.6,56691.8,1405.91,0.99
500000000,50,100,50,50,44323.6,57680.8,1411.61,1.5
500000000,75,100,75,25,63504.1,59379.6,1415.19,2.25
500000000,100,100,100,0,81514.1,68352.5,1421.43,3
