dbSize,realDataPercentage,avgMultiBloomChecks,avgMultiLeafBloomChecks,avgMultiNonLeafBloomChecks,avgMultiSSTChecks,avgSingleBloomChecks,avgSingleLeafBloomChecks,avgSingleNonLeafBloomChecks,avgSingleSSTChecks,avgRealMultiBloomChecks,avgRealMultiSSTChecks,avgFalseMultiBloomChecks,avgFalseMultiSSTChecks
10000000,0,28.48,0,28.48,0,26.3,2.1,24.2,0.66,0,0,28.48,0
10000000,20,31.26,1,30.26,0.6,27.41,2.5,24.91,0.72,42.3,3,28.5,0
10000000,33,32.26,1.63,30.63,0.99,27.8,2.56,25.24,0.77,41.0606,3,27.9254,0
10000000,50,34.19,2.48,31.71,1.5,27.08,2.68,24.4,0.83,39.9,3,28.48,0
10000000,75,37.65,3.75,33.9,2.25,28.35,2.91,25.44,0.94,40.7867,3,28.24,0
10000000,100,40.15,5,35.15,3,28.3,3.24,25.06,1,40.15,3,0,0
50000000,0,197.14,0,197.14,0,110.73,2.93,107.8,0.67,0,0,197.14,0
50000000,20,197.07,1.04,196.03,0.6,110.63,3.31,107.32,0.74,208.2,3,194.287,0
50000000,33,202.28,1.69,200.59,0.99,111.75,3.18,108.57,0.77,213.576,3,196.716,0
50000000,50,207.37,2.71,204.66,1.5,113.57,3.38,110.19,0.8,215.56,3,199.18,0
50000000,75,205.65,4,201.65,2.25,114.26,4.29,109.97,0.92,208.64,3,196.68,0
50000000,100,210.37,5.46,204.91,3,113.03,4.08,108.95,1.01,210.37,3,0,0
100000000,0,267.18,0,267.18,0,218.39,4.26,214.13,0.66,0,0,267.18,0
100000000,20,270.38,1,269.38,0.6,219.95,4.02,215.93,0.72,279.7,3,268.05,0
100000000,33,272.41,1.65,270.76,0.99,219.23,4.83,214.4,0.78,280.212,3,268.567,0
100000000,50,269.8,2.5,267.3,1.5,219.17,4.65,214.52,0.84,274.3,3,265.3,0
100000000,75,276.93,3.75,273.18,2.25,224.18,4.98,219.2,0.9,279.2,3,270.12,0
100000000,100,280.37,5,275.37,3,222.95,5.16,217.79,1.02,280.37,3,0,0
500000000,0,1408.09,0,1408.09,0,1070.02,12.78,1057.24,0.7,0,0,1408.09,0
500000000,20,1397.91,0.87,1397.04,0.6,1063.81,13.2,1050.61,0.79,1399.3,3,1397.56,0
500000000,33,1405.91,1.57,1404.34,0.99,1068.49,13.8,1054.69,0.85,1413.76,3,1402.04,0
500000000,50,1411.61,2.37,1409.24,1.5,1072.39,13.53,1058.86,0.86,1420.26,3,1402.96,0
500000000,75,1415.19,3.42,1411.77,2.25,1076.62,14.04,1062.58,0.93,1417.47,3,1408.36,0
500000000,100,1421.43,4.72,1416.71,3,1075.9,13.77,1062.13,1.04,1421.43,3,0,0
