numRecords,bloomTreeRatio,itemsPerPartition,bloomSize,numHashFunctions,singleHierarchyLeafs,bloomDiskSize,blomMemSize
10000000,5,100000,1000000,6,100,37503600,9375900
50000000,5,100000,1000000,6,503,188518096,48004608
100000000,5,100000,1000000,6,1000,375036000,94134036
500000000,5,100000,1000000,6,5000,1873929880,468920012
