dbSize,realDataPercentage,totalQueries,realQueries,falseQueries,avgMultiTime,avgSingleTime,avgMultiBloomChecks,avgMultiSSTChecks
10000000,0,100,0,100,631.45,65647.6,104.84,0
10000000,20,100,20,80,14645,58132,106.29,0.6
10000000,33,100,33,67,24282.5,60406.1,108.39,0.99
10000000,50,100,50,50,36765.1,61744.3,108.77,1.5
10000000,75,100,75,25,54111.6,57331.1,109.8,2.25
10000000,100,100,100,0,72336,56238.5,110.62,3
50000000,0,100,0,100,4957.71,77553.3,794.63,0
50000000,20,100,20,80,14850.5,75162.6,794.78,0.63
50000000,33,100,33,67,22084.2,73526.6,807.04,0.99
50000000,50,100,50,50,29695.7,74595.9,801.72,1.5
50000000,75,100,75,25,43548.3,73483.3,797.2,2.34
50000000,100,100,100,0,55289.6,71418,808.26,3.03
100000000,0,100,0,100,6615.33,90777.8,1009.71,0.03
100000000,20,100,20,80,21638.7,90108.9,1002.77,0.6
100000000,33,100,33,67,31962.8,87313.6,1009.41,0.99
100000000,50,100,50,50,44359.3,88879,1009.19,1.5
100000000,75,100,75,25,62945.2,89915.7,1009.1,2.25
100000000,100,100,100,0,80584.3,87276.2,1011.47,3
500000000,0,100,0,100,31871.2,199122,5395.43,0.09
500000000,20,100,20,80,45459.6,198891,5392.95,0.6
500000000,33,100,33,67,56747.2,201771,5393.4,1.02
500000000,50,100,50,50,68638.3,196783,5395.83,1.5
500000000,75,100,75,25,87561.3,196475,5376.64,2.25
500000000,100,100,100,0,106423,199411,5393.29,2.94
