dbSize,realDataPercentage,avgMultiBloomChecks,avgMultiLeafBloomChecks,avgMultiNonLeafBloomChecks,avgMultiSSTChecks,avgSingleBloomChecks,avgSingleLeafBloomChecks,avgSingleNonLeafBloomChecks,avgSingleSSTChecks,avgRealMultiBloomChecks,avgRealMultiSSTChecks,avgFalseMultiBloomChecks,avgFalseMultiSSTChecks
10000000,0,107.45,40.67,66.78,0.03,99.05,74.05,25,1.46,0,0,107.45,0.03
10000000,20,108.11,41.76,66.35,0.6,98.7,73.7,25,1.49,116.4,3,106.037,0
10000000,33,110.7,43.41,67.29,0.99,99.9,74.9,25,1.47,112.03,3,110.045,0
10000000,50,110.76,43.46,67.3,1.5,99.65,74.65,25,1.57,110.3,3,111.22,0
10000000,75,112.51,45.41,67.1,2.25,99.4,74.4,25,1.66,112.96,3,111.16,0
10000000,100,112.73,45.62,67.11,3,100.25,75.25,25,2,112.73,3,0,0
50000000,0,703.5,265.94,437.56,0,493.2,366.62,126.58,4.53,0,0,703.5,0
50000000,20,701.74,263.63,438.11,0.6,492.9,366.14,126.76,4.99,697.3,3,702.85,0
50000000,33,708.84,269.49,439.35,1.08,498.2,371.58,126.62,4.99,720.515,3.27273,703.09,0
50000000,50,706.84,270.29,436.55,1.5,490.95,364.15,126.8,4.98,709.94,3,703.74,0
50000000,75,709.75,270.26,439.49,2.25,494.65,367.99,126.66,5.16,708.867,3,712.4,0
50000000,100,713.54,275.1,438.44,3.03,494.15,367.55,126.6,4.96,713.54,3.03,0,0
100000000,0,1078.66,408.4,670.26,0,987.75,736.75,251,9.16,0,0,1078.66,0
100000000,20,1074.63,405.26,669.37,0.6,985.7,734.7,251,9.05,1069.9,3,1075.81,0
100000000,33,1084.08,412.93,671.15,0.99,990.4,739.4,251,9.54,1074.97,3,1088.57,0
100000000,50,1072.55,404.32,668.23,1.5,985.2,734.2,251,8.65,1074.58,3,1070.52,0
100000000,75,1082.59,411.01,671.58,2.28,988,737,251,9.24,1084.95,3,1075.52,0.12
100000000,100,1076.49,409.08,667.41,3,982.65,731.65,251,9.75,1076.49,3,0,0
500000000,0,5330.98,2023.55,3307.43,0,4938.85,3687.85,1251,43.58,0,0,5330.98,0
500000000,20,5316.15,2012.18,3303.97,0.63,4926.65,3675.65,1251,43.43,5307.3,3,5318.36,0.0375
500000000,33,5329.24,2026.58,3302.66,1.02,4930.65,3679.65,1251,43.75,5335.7,3,5326.06,0.0447761
500000000,50,5331.61,2024.15,3307.46,1.53,4938.8,3687.8,1251,44.19,5334.7,3,5328.52,0.06
500000000,75,5318.29,2014.5,3303.79,2.28,4928.15,3677.15,1251,43.51,5324.48,3,5299.72,0.12
500000000,100,5341.28,2035.34,3305.94,3,4939.85,3688.85,1251,43.53,5341.28,3,0,0
