dbSize,realDataPercentage,totalQueries,realQueries,falseQueries,avgMultiTime,avgSingleTime,avgMultiBloomChecks,avgMultiSSTChecks
10000000,0,100,0,100,369.09,46045,57.37,0
10000000,20,100,20,80,14577.3,48778.4,59.73,0.6
10000000,33,100,33,67,23572.7,46349.6,58.67,0.99
10000000,50,100,50,50,35309.5,51926.1,61.45,1.5
10000000,75,100,75,25,52918.4,51934,63.84,2.25
10000000,100,100,100,0,69893.8,54909,66.13,3
50000000,0,100,0,100,2562.16,49518.4,402.65,0
50000000,20,100,20,80,11417.9,49998.7,408.98,0.6
50000000,33,100,33,67,18441.9,51043.8,411.96,0.99
50000000,50,100,50,50,28408.6,50020.1,410.31,1.53
50000000,75,100,75,25,37027.6,57441.9,416.02,2.25
50000000,100,100,100,0,49122.6,60181.8,416.53,3
100000000,0,100,0,100,3455.51,53182.6,545.49,0
100000000,20,100,20,80,18577.5,55698.2,543.87,0.6
100000000,33,100,33,67,26524.3,54666.4,550.63,0.96
100000000,50,100,50,50,38963.5,52928.6,552.73,1.5
100000000,75,100,75,25,58295.8,55843.2,556.98,2.22
100000000,100,100,100,0,76622.2,58702.3,557.29,2.97
500000000,0,100,0,100,15855.5,74105.3,2764.6,0
500000000,20,100,20,80,30258.1,71798.4,2776.53,0.6
500000000,33,100,33,67,40339.5,74168.6,2763.16,0.99
500000000,50,100,50,50,52736.5,71027.8,2760.17,1.5
500000000,75,100,75,25,70158.6,70496.8,2776.1,2.25
500000000,100,100,100,0,90254.6,70124.7,2777.65,3
