dbSize,realDataPercentage,avgRealMultiTime,avgRealSingleTime,avgFalseMultiTime,avgFalseSingleTime,avgHierarchicalMultiTime,avgHierarchicalSingleTime
10000000,0,0,0,311.44,67895.5,311.44,67895.5
10000000,20,71045.4,62885.9,1166.53,69216,15142.3,67950
10000000,40,73451.6,62707.7,2630.05,65930.9,30958.7,64641.6
10000000,60,72544.4,64299.8,2048.28,69211.4,44345.9,66264.5
10000000,80,73993.9,62914.9,308.2,63037.7,59256.8,62939.5
10000000,100,71538.4,61354.9,0,0,71538.4,61354.9
50000000,0,0,0,1405.74,86981.7,1405.74,86981.7
50000000,20,80364.9,89413.3,2403.99,84921.1,17996.2,85819.6
50000000,40,79689.9,88232.2,1422.62,89192.2,32729.5,88808.2
50000000,60,82230.1,87263.3,1432.12,85832,49910.9,86690.8
50000000,80,79936.5,80208.6,1441.3,86268.4,64237.4,81420.6
50000000,100,76269.2,86813.1,0,0,76269.2,86813.1
100000000,0,0,0,2862.47,110563,2862.47,110563
100000000,20,81344.1,113042,5813.96,110555,20920,111052
100000000,40,81509.1,111387,5273.03,110501,35767.5,110855
100000000,60,81661.3,112345,6750.12,110199,51696.8,111487
100000000,80,82843.2,111452,2859.55,113175,66846.4,111797
100000000,100,81053.4,111451,0,0,81053.4,111451
500000000,0,0,0,19505.7,322336,19505.7,322336
500000000,20,100388,314204,18097.3,319914,34555.4,318772
500000000,40,99322.9,325129,21732.2,328369,52768.5,327073
500000000,60,96135.3,323139,23167.8,320473,66948.3,322072
500000000,80,93529.2,326219,24470.5,328706,79717.5,326716
500000000,100,100108,313775,0,0,100108,313775
