dbSize,globalScanTime,hierarchicalSingleTime,hierarchicalMultiTime
10000000,5.38568e+06,58258.1,71905.7
50000000,2.6621e+07,95368.9,73164.8
100000000,5.33725e+07,110555,82757.9
500000000,1.59606e+08,318224,100022
