numRecords,bloomTreeRatio,itemsPerPartition,bloomSize,numHashFunctions,singleHierarchyLeafs,bloomDiskSize,blomMemSize
10000000,5,100000,1000000,3,100,37503600,9375900
50000000,5,100000,1000000,3,500,187518000,46879500
100000000,5,100000,1000000,3,1000,375036000,94134036
500000000,5,100000,1000000,3,4984,1867054220,467544880
