dbSize,realDataPercentage,avgMultiBloomChecks,avgMultiLeafBloomChecks,avgMultiNonLeafBloomChecks,avgMultiSSTChecks,avgSingleBloomChecks,avgSingleLeafBloomChecks,avgSingleNonLeafBloomChecks,avgSingleSSTChecks,avgRealMultiBloomChecks,avgRealMultiSSTChecks,avgFalseMultiBloomChecks,avgFalseMultiSSTChecks
10000000,0,17.92,0,17.92,0,25.45,6.55,18.9,0.66,0,0,17.92,0
10000000,20,20.08,1.4,18.68,0.6,24.45,6.1,18.35,0.77,29.4,3,17.75,0
10000000,40,23.84,2.85,20.99,1.2,26.4,7.45,18.95,0.89,30.825,3,19.1833,0
10000000,60,25.5,4.2,21.3,1.8,26.65,7.45,19.2,1.01,29.8167,3,19.025,0
10000000,80,26.74,5.6,21.14,2.4,25.9,7.3,18.6,1,29.6875,3,14.95,0
10000000,100,30.79,7.01,23.78,3,28.8,8.9,19.9,1.04,30.79,3,0,0
50000000,0,86.32,0.12,86.2,0,103.1,16.7,86.4,0.8,0,0,86.32,0
50000000,20,89.45,1.61,87.84,0.6,107.45,19.6,87.85,0.93,101.05,3,86.55,0
50000000,40,91.23,2.81,88.42,1.2,106.05,18.25,87.8,1.01,97.525,3,87.0333,0
50000000,60,93.77,4.25,89.52,1.8,107.25,19.4,87.85,1.08,99.7333,3,84.825,0
50000000,80,96.69,5.65,91.04,2.4,107.5,18.95,88.55,1.06,97.375,3,93.95,0
50000000,100,101.91,7.05,94.86,3,109.8,21.5,88.3,1.22,101.91,3,0,0
100000000,0,174.11,0.17,173.94,0,208.15,34,174.15,1.15,0,0,174.11,0
100000000,20,179.94,1.4,178.54,0.6,209.2,33.35,175.85,1.15,193.3,3,176.6,0
100000000,40,179.47,2.92,176.55,1.2,207.7,33.9,173.8,1.16,188.8,3,173.25,0
100000000,60,182.77,4.2,178.57,1.8,212.45,36.1,176.35,1.4,184.533,3,180.125,0
100000000,80,182.21,5.64,176.57,2.4,206.2,34.55,171.65,1.29,183.637,3,176.5,0
100000000,100,185.32,7.05,178.27,3,210.55,36.55,174,1.37,185.32,3,0,0
500000000,0,960.73,0.32,960.41,0,1001.72,151.32,850.4,2.35,0,0,960.73,0
500000000,20,969,1.48,967.52,0.6,1008.69,154.59,854.1,2.4,998,3,961.75,0
500000000,40,966.41,2.79,963.62,1.2,1010.14,154.67,855.47,2.52,975.55,3,960.317,0
500000000,60,972.32,3.91,968.41,1.8,1007.79,157.88,849.91,2.81,972.033,3,972.75,0
500000000,80,976.97,5.06,971.91,2.37,1017.97,160.13,857.84,2.94,980.638,2.9625,962.3,0
500000000,100,977.87,5.93,971.94,2.91,1013.66,160.6,853.06,3.02,977.87,2.91,0,0
