numRecords,bloomTreeRatio,itemsPerPartition,bloomSize,numHashFunctions,singleHierarchyLeafs,bloomDiskSize,blomMemSize
10000000,5,100000,4000000,3,100,150003600,37500900
50000000,5,100000,4000000,3,500,750018000,187504500
100000000,5,100000,4000000,3,1000,1500036000,376509036
500000000,5,100000,4000000,3,4984,7467679220,1870044880
