dbSize,percentageExisting,hierarchicalSingleTime,hierarchicalMultiTime
10000000,0,28,67
10000000,33.3333,67728,77
10000000,66.6667,70770,120
10000000,100,48519,67089
50000000,0,89,419
50000000,33.3333,67056,322
50000000,66.6667,64870,458
50000000,100,48943,68209
100000000,0,79511,872
100000000,33.3333,65089,889
100000000,66.6667,69169,726
100000000,100,50018,67785
500000000,0,82585,5133
500000000,33.3333,87917,4240
500000000,66.6667,60740,4684
500000000,100,69093,71997
