dbSize,globalScanTime,hierarchicalSingleTime,hierarchicalMultiTime
10000000,5.32228e+06,54630.5,72281.4
50000000,2.64366e+07,53436.8,74487.5
100000000,5.32263e+07,61057.2,70806.1
500000000,1.58871e+08,75016.9,85572.2
