dbSize,realDataPercentage,numColumns,avgMultiBloomPerCol,avgMultiLeafPerCol,avgMultiNonLeafPerCol,avgMultiSSTPerCol,avgSingleBloomPerCol,avgSingleLeafPerCol,avgSingleNonLeafPerCol,avgSingleSSTPerCol,avgRealMultiBloomPerCol,avgRealMultiSSTPerCol,avgFalseMultiBloomPerCol,avgFalseMultiSSTPerCol
10000000,0,3,5.97333,0,5.97333,0,25.45,6.55,18.9,0.66,0,0,5.97333,0
10000000,20,3,6.69333,0.466667,6.22667,0.2,24.45,6.1,18.35,0.77,9.8,1,5.91667,0
10000000,40,3,7.94667,0.95,6.99667,0.4,26.4,7.45,18.95,0.89,10.275,1,6.39444,0
10000000,60,3,8.5,1.4,7.1,0.6,26.65,7.45,19.2,1.01,9.93889,1,6.34167,0
10000000,80,3,8.91333,1.86667,7.04667,0.8,25.9,7.3,18.6,1,9.89583,1,4.98333,0
10000000,100,3,10.2633,2.33667,7.92667,1,28.8,8.9,19.9,1.04,10.2633,1,0,0
50000000,0,3,28.7733,0.04,28.7333,0,103.1,16.7,86.4,0.8,0,0,28.7733,0
50000000,20,3,29.8167,0.536667,29.28,0.2,107.45,19.6,87.85,0.93,33.6833,1,28.85,0
50000000,40,3,30.41,0.936667,29.4733,0.4,106.05,18.25,87.8,1.01,32.5083,1,29.0111,0
50000000,60,3,31.2567,1.41667,29.84,0.6,107.25,19.4,87.85,1.08,33.2444,1,28.275,0
50000000,80,3,32.23,1.88333,30.3467,0.8,107.5,18.95,88.55,1.06,32.4583,1,31.3167,0
50000000,100,3,33.97,2.35,31.62,1,109.8,21.5,88.3,1.22,33.97,1,0,0
100000000,0,3,58.0367,0.0566667,57.98,0,208.15,34,174.15,1.15,0,0,58.0367,0
100000000,20,3,59.98,0.466667,59.5133,0.2,209.2,33.35,175.85,1.15,64.4333,1,58.8667,0
100000000,40,3,59.8233,0.973333,58.85,0.4,207.7,33.9,173.8,1.16,62.9333,1,57.75,0
100000000,60,3,60.9233,1.4,59.5233,0.6,212.45,36.1,176.35,1.4,61.5111,1,60.0417,0
100000000,80,3,60.7367,1.88,58.8567,0.8,206.2,34.55,171.65,1.29,61.2125,1,58.8333,0
100000000,100,3,61.7733,2.35,59.4233,1,210.55,36.55,174,1.37,61.7733,1,0,0
500000000,0,3,320.243,0.106667,320.137,0,1001.72,151.32,850.4,2.35,0,0,320.243,0
500000000,20,3,323,0.493333,322.507,0.2,1008.69,154.59,854.1,2.4,332.667,1,320.583,0
500000000,40,3,322.137,0.93,321.207,0.4,1010.14,154.67,855.47,2.52,325.183,1,320.106,0
500000000,60,3,324.107,1.30333,322.803,0.6,1007.79,157.88,849.91,2.81,324.011,1,324.25,0
500000000,80,3,325.657,1.68667,323.97,0.79,1017.97,160.13,857.84,2.94,326.879,0.9875,320.767,0
500000000,100,3,325.957,1.97667,323.98,0.97,1013.66,160.6,853.06,3.02,325.957,0.97,0,0
