dbSize,realDataPercentage,totalQueries,realQueries,falseQueries,avgMultiTime,avgSingleTime,avgMultiBloomChecks,avgMultiSSTChecks
10000000,0,100,0,100,105.41,45126.1,17.92,0
10000000,20,100,20,80,14515.1,47854.5,20.08,0.6
10000000,40,100,40,60,29875.5,50693.2,23.84,1.2
10000000,60,100,60,40,42960.5,57126.4,25.5,1.8
10000000,80,100,80,20,58394.9,52412.7,26.74,2.4
10000000,100,100,100,0,72531.7,54454.3,30.79,3
50000000,0,100,0,100,402.53,50087.6,86.32,0
50000000,20,100,20,80,14773.9,52757.4,89.45,0.6
50000000,40,100,40,60,29564.3,51753.4,91.23,1.2
50000000,60,100,60,40,43575,53720.9,93.77,1.8
50000000,80,100,80,20,57223,53848.4,96.69,2.4
50000000,100,100,100,0,71595.3,53635.8,101.91,3
100000000,0,100,0,100,779.97,57511.8,174.11,0
100000000,20,100,20,80,14926.3,54602.3,179.94,0.6
100000000,40,100,40,60,30321.5,54532,179.47,1.2
100000000,60,100,60,40,43747.9,56333.5,182.77,1.8
100000000,80,100,80,20,59258.7,56545.4,182.21,2.4
100000000,100,100,100,0,74625.9,57482.8,185.32,3
500000000,0,100,0,100,4627.23,74162.5,960.73,0
500000000,20,100,20,80,19853.5,69904.4,969,0.6
500000000,40,100,40,60,34579.2,69575.3,966.41,1.2
500000000,60,100,60,40,48632.1,72508.4,972.32,1.8
500000000,80,100,80,20,64468.4,72762.9,976.97,2.37
500000000,100,100,100,0,77533,70810,977.87,2.91
