numRecords,bloomTreeRatio,itemsPerPartition,bloomSize,numHashFunctions,singleHierarchyLeafs,bloomDiskSize,blomMemSize
10000000,5,100000,2000000,3,100,75003600,18750900
50000000,5,100000,2000000,3,500,375018000,93754500
100000000,5,100000,2000000,3,1000,750036000,188259036
500000000,5,100000,2000000,3,4984,3733929220,935044880
