dbSize,realDataPercentage,avgRealMultiTime,avgRealSingleTime,avgFalseMultiTime,avgFalseSingleTime,avgHierarchicalMultiTime,avgHierarchicalSingleTime
10000000,0,0,0,188.55,54821.5,188.55,54821.5
10000000,20,71024.1,57922.2,178.963,51640.5,14348,52896.8
10000000,40,72958.1,53905,178.883,48849.8,29290.6,50871.8
10000000,60,72422.8,55719.4,180.6,47167.8,43525.9,52298.8
10000000,80,71375.2,55665.8,182.65,49736.2,57136.7,54479.8
10000000,100,71628,57587.8,0,0,71628,57587.8
50000000,0,0,0,781.93,69217.4,781.93,69217.4
50000000,20,76834,64052.9,780.188,63739.4,15991,63802.1
50000000,40,74009.7,58156,784.95,66814.8,30074.8,63351.3
50000000,60,72329.3,60935.7,782.75,63087.8,43710.7,61796.5
50000000,80,74421.8,62278.5,770.2,63591.1,59691.5,62541
50000000,100,73229.6,59584.1,0,0,73229.6,59584.1
100000000,0,0,0,1547.91,72274,1547.91,72274
100000000,20,78113.3,66367,1535.45,73556.4,16851,72118.5
100000000,40,73916.6,70127.1,1545.55,73470.6,30494,72133.2
100000000,60,75897,69670.1,1561.22,71129.3,46162.7,70253.8
100000000,80,74115.1,67522.3,1552,71357,59602.5,68289.2
100000000,100,74858.3,67936.5,0,0,74858.3,67936.5
500000000,0,0,0,9943.66,108000,9943.66,108000
500000000,20,88971.1,113119,10127,107095,25895.8,108300
500000000,40,87638.2,110882,10056.8,105914,41089.4,107901
500000000,60,86075.8,109325,9939.9,110240,55621.4,109691
500000000,80,86195.2,110696,10020.2,111832,70960.2,110923
500000000,100,86265.7,110061,0,0,86265.7,110061
