dbSize,realDataPercentage,numColumns,avgMultiBloomPerCol,avgMultiLeafPerCol,avgMultiNonLeafPerCol,avgMultiSSTPerCol,avgSingleBloomPerCol,avgSingleLeafPerCol,avgSingleNonLeafPerCol,avgSingleSSTPerCol,avgRealMultiBloomPerCol,avgRealMultiSSTPerCol,avgFalseMultiBloomPerCol,avgFalseMultiSSTPerCol
10000000,0,3,12.4733,0.33,12.1433,0,42.95,18.8,24.15,1.03,0,0,12.4733,0
10000000,20,3,12.5233,0.586667,11.9367,0.2,40.65,16.9,23.75,0.98,14.8167,1,11.95,0
10000000,40,3,13.2067,1.03667,12.17,0.4,41.35,17.3,24.05,1.02,15.2583,1,11.8389,0
10000000,60,3,13.8833,1.57667,12.3067,0.6,41.5,17.5,24,1.08,15.1722,1,11.95,0
10000000,80,3,14.73,2.01667,12.7133,0.8,44,19.95,24.05,1.19,15.3167,1,12.3833,0
10000000,100,3,14.87,2.44667,12.4233,1,42.4,18.85,23.55,1.29,14.87,1,0,0
50000000,0,3,58.2433,0.54,57.7033,0,194,75.15,118.85,2.17,0,0,58.2433,0
50000000,20,3,58.83,1.05667,57.7733,0.2,192.8,75.05,117.75,1.85,61.2833,1,58.2167,0
50000000,40,3,59.4,1.59,57.81,0.4,193,74.1,118.9,2.03,60.4,1,58.7333,0
50000000,60,3,60.2567,1.99667,58.26,0.6,197.05,77.9,119.15,2.23,61.3222,1,58.6583,0
50000000,80,3,60.79,2.33,58.46,0.8,196.85,78.8,118.05,2.33,61.7125,1,57.1,0
50000000,100,3,60.7967,2.81,57.9867,1,196.05,77.7,118.35,2.39,60.7967,1,0,0
100000000,0,3,117.417,1.23667,116.18,0,386.35,150.6,235.75,3.12,0,0,117.417,0
100000000,20,3,117.647,1.59333,116.053,0.2,383.95,147.5,236.45,3.24,120.217,1,117.004,0
100000000,40,3,117.91,2.23,115.68,0.4,385.05,147.95,237.1,3.53,119.467,1,116.872,0
100000000,60,3,118.423,2.49,115.933,0.6,384.15,147.2,236.95,3.41,119.294,1,117.117,0
100000000,80,3,119.363,2.91667,116.447,0.8,385.3,148.3,237,3.61,120,1,116.817,0
100000000,100,3,120.04,3.19,116.85,1,386.55,149.25,237.3,3.82,120.04,1,0,0
500000000,0,3,669.653,5.84667,663.807,0,1919.72,738.52,1181.2,13.92,0,0,669.653,0
500000000,20,3,667.637,5.82,661.817,0.2,1916.67,738.73,1177.94,14.76,663.633,1,668.637,0
500000000,40,3,668.813,5.80667,663.007,0.39,1913.92,732.15,1181.77,14.47,672.575,0.975,666.306,0
500000000,60,3,666.527,6.71333,659.813,0.59,1909.38,731.15,1178.23,14.26,668.011,0.983333,664.3,0
500000000,80,3,669.4,7.20333,662.197,0.79,1921.19,741.81,1179.38,14.49,670.558,0.9875,664.767,0
500000000,100,3,668.7,7.60333,661.097,0.99,1914.85,737.5,1177.35,14.09,668.7,0.99,0,0
