dbSize,percentageExisting,hierarchicalSingleTime,hierarchicalMultiTime
10000000,0,63,201
10000000,33.3333,68500,201
10000000,66.6667,69951,211
10000000,100,48819,67149
50000000,0,67511,719
50000000,33.3333,65428,758
50000000,66.6667,68756,771
50000000,100,75421,68912
100000000,0,68301,1601
100000000,33.3333,87471,1764
100000000,66.6667,68020,1575
100000000,100,49722,70998
500000000,0,107350,10287
500000000,33.3333,116777,10509
500000000,66.6667,110058,10181
500000000,100,115074,91777
