dbSize,realDataPercentage,totalQueries,realQueries,falseQueries,avgMultiTime,avgSingleTime,avgMultiBloomChecks,avgMultiSSTChecks
10000000,0,100,0,100,188.55,54821.5,37.42,0
10000000,20,100,20,80,14348,52896.8,37.57,0.6
10000000,40,100,40,60,29290.6,50871.8,39.62,1.2
10000000,60,100,60,40,43525.9,52298.8,41.65,1.8
10000000,80,100,80,20,57136.7,54479.8,44.19,2.4
10000000,100,100,100,0,71628,57587.8,44.61,3
50000000,0,100,0,100,781.93,69217.4,174.73,0
50000000,20,100,20,80,15991,63802.1,176.49,0.6
50000000,40,100,40,60,30074.8,63351.3,178.2,1.2
50000000,60,100,60,40,43710.7,61796.5,180.77,1.8
50000000,80,100,80,20,59691.5,62541,182.37,2.4
50000000,100,100,100,0,73229.6,59584.1,182.39,3
100000000,0,100,0,100,1547.91,72274,352.25,0
100000000,20,100,20,80,16851,72118.5,352.94,0.6
100000000,40,100,40,60,30494,72133.2,353.73,1.2
100000000,60,100,60,40,46162.7,70253.8,355.27,1.8
100000000,80,100,80,20,59602.5,68289.2,358.09,2.4
100000000,100,100,100,0,74858.3,67936.5,360.12,3
500000000,0,100,0,100,9943.66,108000,2008.96,0
500000000,20,100,20,80,25895.8,108300,2002.91,0.6
500000000,40,100,40,60,41089.4,107901,2006.44,1.17
500000000,60,100,60,40,55621.4,109691,1999.58,1.77
500000000,80,100,80,20,70960.2,110923,2008.2,2.37
500000000,100,100,100,0,86265.7,110061,2006.1,2.97
